2025-01-11 03:05:14 postgres_entrypoint  | [NOTICE]   (1) : New worker (7) forked
2025-01-11 03:05:14 postgres_entrypoint  | [NOTICE]   (1) : Loading success.
2025-01-11 03:05:15 postgres_entrypoint  | [WARNING]  (7) : Server postgres/pg_master is DOWN, reason: Layer4 connection problem, info: "Connection refused", check duration: 1005ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2025-01-11 03:05:17 postgres_entrypoint  | [WARNING]  (7) : Server postgres/pg_slave is DOWN, reason: Layer4 connection problem, info: "Connection refused", check duration: 1048ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2025-01-11 03:05:17 postgres_entrypoint  | [ALERT]    (7) : proxy 'postgres' has no server available!
2025-01-11 03:06:07 postgres_entrypoint  | [NOTICE]   (1) : haproxy version is 3.0.7-ce35390
2025-01-11 03:06:07 postgres_entrypoint  | [NOTICE]   (1) : path to executable is /usr/local/sbin/haproxy
2025-01-11 03:06:07 postgres_entrypoint  | [WARNING]  (1) : Exiting Master process...
2025-01-11 03:06:07 postgres_entrypoint  | [WARNING]  (7) : Proxy stats stopped (cumulated conns: FE: 0, BE: 0).
2025-01-11 03:06:07 postgres_entrypoint  | [WARNING]  (7) : Proxy postgres stopped (cumulated conns: FE: 0, BE: 0).
2025-01-11 03:06:07 postgres_entrypoint  | [WARNING]  (1) : Exiting Master process...
2025-01-11 03:06:09 postgres_entrypoint  | [WARNING]  (1) : Current worker (7) exited with code 0 (Exit)
2025-01-11 03:06:09 postgres_entrypoint  | [WARNING]  (1) : All workers exited. Exiting... (0)
2025-01-11 03:06:13 postgres_entrypoint  | [NOTICE]   (1) : New worker (8) forked
2025-01-11 03:06:13 postgres_entrypoint  | [NOTICE]   (1) : Loading success.
2025-01-11 03:06:13 postgres_entrypoint  | [WARNING]  (8) : Server postgres/pg_master is DOWN, reason: Layer7 wrong status, code: 503, info: "Service Unavailable", check duration: 12ms. 1 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2025-01-11 03:06:14 postgres_entrypoint  | [WARNING]  (8) : Server postgres/pg_slave is DOWN, reason: Layer7 wrong status, code: 503, info: "Service Unavailable", check duration: 15ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2025-01-11 03:06:14 postgres_entrypoint  | [ALERT]    (8) : proxy 'postgres' has no server available!
2025-01-11 03:06:19 postgres_entrypoint  | [WARNING]  (8) : Server postgres/pg_master is UP, reason: Layer7 check passed, code: 200, check duration: 5ms. 1 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2025-01-11 03:13:57 postgres_entrypoint  | [WARNING]  (8) : Server postgres/pg_master is DOWN, reason: Layer4 timeout, check duration: 3001ms. 0 active and 0 backup servers left. 0 sessions active, 0 requeued, 0 remaining in queue.
2025-01-11 03:13:57 postgres_entrypoint  | [ALERT]    (8) : proxy 'postgres' has no server available!
2025-01-11 03:14:17 postgres_entrypoint  | [WARNING]  (8) : Server postgres/pg_slave is UP, reason: Layer7 check passed, code: 200, check duration: 3ms. 1 active and 0 backup servers online. 0 sessions requeued, 0 total in queue.
2025-01-11 03:06:12 pg-slave             | 2025-01-10 20:06:12,561 INFO: Connecting to zoo(172.20.0.2):2181, use_ssl: False
